key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portugese;Russian;Finnish;
NFR;France;x;
NFR_napoleonic_republic;French Empire;x;
NFR_absolute_monarchy;Bourbon France;x;
NFR_fascist_dictatorship;French State;x;
NFR_ADJ;French;x;
BTR;The Netherlands;x;
BTR_napoleonic_republic;The Batavian Republic;x;
BTR_ADJ;Dutch;x;
ITL;Italy;x;
ITL_napoleonic_republic;The Italian Republic;x;
ITL_proletarian_dictatorship;The Democratic Republic of Italy;x;
ITL_ADJ;Italian;x;
BVR;Bavaria;x;
BVR_ADJ;Bavarian;x;
BDW;Baden-Wurttemburg;x;
BDW_ADJ;Baden-Wurttemburg;x;
HSE;Hessen;x;
HSE_ADJ;Hesse-German;x;
NHO;Hanover;x;
NHO_ADJ;Hanoverian;x;
COR;West Germany;x;
COR_proletarian_dictatorship;The Rhenish Democratic Republic;x;
COR_fascist_dictatorship;The Rhenish Empire;x;
COR_hms_government;The Confederation of the Rhine;x;
COR_absolute_monarchy;The Confederation of the Rhine;x;
COR_napoleonic_republic;The Confederation of the Rhine;x;
COR_ADJ;Rheinish;x;
KOP;Prussia;x;
KOP_hms_government;Kingdom of Prussia;x;
KOP_absolute_monarchy;Kingdom of Prussia;x;
KOP_ADJ;Prussian;x;
AHT;Anhalt;x;
AHT_ADJ;Anhaltian;x;
KOG;Germany;x;
KOG_hms_goverment;Kingdom of Germany;x;
KOG_absolute_monarchy;Kingdom of Germany;x;
KOG_fascist_dictatorship;German Reich;x;
KOG_proletarian_dictatorship;Democratic German Republic;x;
KOG_ADJ;German;x;
SWC;The Swiss Confederation;x;
SWC_ADJ;Swiss;x;
DOW;Duchy of Warsaw;x;
DOW_ADJ;Polish;x;
MML;Memel;x;
MML_ADJ;Memel;x;
UKG;The British Republic;x;
UKG_absolute_monarchy;The United Kingdom;x;
UKG_hms_government;The United Kingdom;x;
UKG_napoleonic_republic;Revolutionary Britain;x;
UKG_fascist_dictatorship;The British Empire;x;
UKG_proletarian_dictatorship;The Union of Britain;x;
UKG_ADJ;British;x;
KOS;Slavonia;x;
KOS_napoleonic_republic;The Kingdom of Slavonia;x;
KOS_hms_government;The Kingdom of Slavonia;x;
KOS_absolute_monarchy;The Kingdom of Slavonia;x;
KOS_ADJ;Slavonian;x;
AUE;Austria;x;
AUE_hms_government;Austrian Empire;x;
AUE_absolute_monarchy;Austrian Empire;x;
AUE_ADJ;Austrian;x;
SIR;Spain;x;
SIR_democracy;Spanish Republic;x;
SIR_napoleonic_republic;Spanish Republic;x;
SIR_ADJ;Spanish;x;
DMN;Denmark-Norway;x;
DMN_ADJ;Danish-Norwegian;x;
OTO;Turkey;x;
OTO_hms_government;Ottoman State;x;
OTO_absolute_monarchy;Ottoman Empire;x;
OTO_proletarian_dictatorship;Turkish Socialist Republic;x;
OTO_ADJ;Turkish;x;
TPR;Portugal;x;
TPR_ADJ;Portuguese;x;
RUE;Russia;x;
RUE_hms_government;Russian Empire;x;
RUE_absolute_monarchy;Russian Empire;x;
RUE_ADJ;Russian;x;
SDT;Sweden;x;
SDT_ADJ;Swedish;x;
EGK;Egypt;x;
EGK_absolute_monarchy;Egyptian Kingdom;x;
EGK_ADJ;Egyptian;x;
ATS;Tunis;x;
ATS_ADJ;Tunisian;x;
WCT;Wallachia;x;
WCT_ADJ;Wallachian;x;
MDT;Moldavia;x;
MDT_ADJ;Moldavian;x;
RMU;Romania;x;
RMU_ADJ;Romanian;x;
GRT;Greece;x;
GRT_ADJ;Greek;x;
ALG;Algeria;x;
ALG_ADJ;Algerian;x;
MRT;Morocco;x;
MRT_ADJ;Moroccan;x;
ABY;Ethiopia;x;
ABY_absolute_monarchy;Abyssinia;x;
ABY_ADJ;Ethiopian;x;
PNS;Princely States;x;
PNS_ADJ;Indian;x;
EIC;The East India Company;x;
EIC_ADJ;East Indian;x;
TUT;The United States;x;
TUT_hms_government;The American Kingdom;x;
